age;DOB;prog_skill;yrs_of_uni_study;operating_system;prog_languages;english_level;animal;more_dk_mnts;winter_tired;rand_num_1_10;rand_num_0_1;rand_num_0_1_again;canteen_food;fav_colour;neural_network_vector_machine;sql;sql_server;A_Priori;44523673_sqrt;noor_hometown;therb_fortt_glag;solar_system_planets;num_sequence;seq_name;
25;30/08/87;7;½;Windows;C#, Java(Javascript);64;Elephant;No;No;8;0,3;0,4;Average;Blue;No,No;Yes;MS SQL;Nope;No idea;Sorry, dunno;-;-;55;Fibonachi's sequence
23;07/01/1989;9;4;Windows;C++,F#,C#;65;Asparagus;Yes;No;8;0,0347532;0,1043027301879981101;Expensive;Black;No;Yes;The standard one?;No;a number;No idea;Wat;9;55;addition scale
26;23/11 - 86;6;6;Windows;C#, SQL, Python;62;Elephant;no;no;7,5;½;½;great, but expensive;bamboo;no;yes;MS;no, but i know what 'a priori' is;SQRT(44523675);Syrian village;Snails;7;55;fibonacci
26;18/3/1986;7;4½;Windows;C#, Objective-C, Java;59;Elephant;YES;YES;8;0,5;0,6;It's mediocre;Blue;No!;YES;MS SQL;No;SQRT(44523673);Copenhagen;?;8;55;fibonacci?
49;25 june;8;0;windows;C #, VB, Pascal;60;Elephant;yes;yes;7;1,5;1,25;ok;Green;No;yes;MS-SQL;No;-;?;?;12;55;-;
38;23 sep. 1974;8;6;Linux;Java, C#, Scala;65;Elephant;Yes!;Yes;10;0,0156531268;0,7137615;a bit expensive;blue;no;yes;DB2;no;Something smaller;Damascus?;?;13;55;fibonacci
41;27-10-71;5;4;Windows;Java, Lisp, C++;67;Zebra;Yes;No;7;1;0;ok;Blue;No;Yes;My SQL;No; SQRT(44523673) :-);Damascus;fortt!;7;21;Fibonacci?
27;30 06 85;9;1;Windows;C#, Java, VB.Net;61,5;Elephant;NO. GASOLINE IS EXPENSIVE;Yes;1;0,755;0,01;ACCEPTABLE;PURPLE;YES and No;Structured Query Language;Microsoft SQL Server;No;SQRT(44523673);-;-;8;55;Fibonacci
22;1990-08-26;7;2,5 (decimal);Desktop => Windows 7 Server => Linux;Ruby C# Java;53,21;Zebra;How about NO!;I am fed up;1;0,123456789;0,58999999129;NO!;Transparent;NO;Structured Query Lang. Yes;postgres;NO;use a PC;cant Remember. Syria;What;8 or 9;55;Fibonacci Nr
23;February 1st;9;3.5;Windows (7);C#, Java, SML;66;Elephant;Yes;Yes!;7;0,312451;1/8;It's okay;Blue;Yes;Yes;MySQL;No;No idea;Syria somewhere;glag;8;55;Fibonacci
26;23.12.1986;9;4;Linux;Python, C++, ML;62;Elephant;Yes!;Yes!;6;0.23;0.25;Expensive;Green;No.;Yes.;Don't have one.;No.; circa 6672,60616251;who is that?;lass schlass schlass.;8;55;Morten
30;26/07/82;3;6;Windows 7;PYTHON MATLAB JAVA;60;Elephant;Yes;somewhat;10;1;0;okay;Grey;No;Yes;Portgres;No;roughly 6500;Don't know;-;8-9;55;Fibonacci
19;28-03-93;5;2;Windows 7;C#, Java, AS3;67;-;yes please;I was fed up even before it started! (yes);8;0.66667;0;Expensive :(;RedGreenBlueYellow - take a pick;no?;Yes indeed!;MySQL;not really, no;SQRT(44523673) = x, solve for x;Somewhere in Syria, dunno which;glag fortt therb, obviously;It's 8 now, right?;55;Fiiiiibonacchi sequencem I believe
50;13-07-1962;7-8;10 (I'm Cand Mag));Windows/MVS/;Cobol, Java;55;Elephant;Yes;No;7;0,15789;0,73;I have not try the canteen;Red;No;Yes;SQL Server 2012 (from MS);no;6672,6;Syria;I don't know;9;55;my housenumber
37;14-01-1964;5;5;OSX;C#, python, java;57;Elephant;yes;yes;7;0,3147;0,9214781;dunno;bluepurple;yes;yes;sqlik (not a server), mysql, sql-server(MS);no;6672,6;%;%;9;55;Fibonacci
28;14-05-1984;5;4,5;OSX;C#, Java, F#,C;63;Asparagus!;YES!;YES;4;0,4321;0,4587;ok;Brown;NO;Yes;POSTGRESQL;No;5?;Some town in Syria?;Slangh Blangh Gah;8;55;Fibonacci Sequence
34;16-04-1978;6;5;Linux/Ubuntu;Ruby, Python, Haskell;50;Elephant;No;No;5;0,5;0,8;ok;White;No;Yes;MYSQL;No;-;Damascus;-;9;55;Fibonacci
22;05. 06 1996;8;4;Windows;C# C++ Java;65;Zebra;Yes;no;7;0,2875;0,5732;it is bad;green;no;yes;dont know;no;6753 or something;no idea;what;8;55;Fibonacci
24;30-04-1988;7;5;Windows;Java, PHP, C#;69;Asparagus!;Yes!;Of course;10;1;Pi;4/10;Blue;Yes;Yes;Microsoft SQL Server;No;6672.6;Somewhere in Syria;therb;8;55;Fibonacci
32;03.08.1980;1;4;Windows;Java, VB;50;Elephant;YES!;no;7;0.73;0.01;crepy;rainbow;no;yes;DB2;no;infinity;suppose one in Syria;-;7;55;Fibonachi numbers
23;13/12-1989;4;2,5;Windows;C#, F#, Python;65;Zebra;YES!;No;1;0,42;0,4376842;It's alright;Grey;no;yes;no comment;no;22000 somewhere around that?;Copenhagen?;therb;8;55;"not the fibonacci sequence"
25;13.02.87;7;5;Windows;Php, C#, C;55;Zebra;At least one;yes;7;1;0;expensive;yellow;No;Yes;MySQL;No;Don't know, but eontadis 4 1424;No;???;7;55;HAHA
23;25 feb 1989;7;4;Windows;C++, actionscript, java;57;Zebra;no;yes;7;0;0,07;it's bad;green;no;yes;my sql;no;don't know;she's from syria, dunno the town;?;don't remember;55;sum one to another
23;16 May 1989;9;4;Windows;C#, Java, C++;60;Zebra;Yes;No;7;0,5;0,00001;Not bad;Blue;Yes;Yes;Oracle;Yes;i don't know;i don't know;yes;don't remember;55;Fibonacci
26;030586;6;5;OSX;python,java,c++;68;Elephant;yes;no;8;0,5;-;good;blue;yes;yes;DB2;yes;-;somewhere nice;bus;enough;55;Fibo
25;29.12.1987;6;6;Windows 7;Python, Prolog, C;60;Zebra;Yes, of course;You have no idea!!! (yes);7;0,314;0,762;Really tasty!;I don't have one;No;Yes a little bit;-;No;-;I don't know;what?;9;55;Fibonacci Sequence
21;18/12 1991;9;2,5;MAC OSX;C#, F#, Java;-;Zebra;No;Yes;3;0,1337;0,23;Too expensive;Blue;Yes;Yes;MySQL;No;Don't know; Dont't know;?;6;55;Fibonacci
21;180291;7;2½;Windows 7;C#, C, F#;68;Elephant;No;YES;7;0.18;0.90;AVERAGE;BLACK;YES;YES;MYSQL;NO;Don't know;No idea;?;6;55;Fibonacci
21;August 1st;6;2.5;Windows 7;C# C F#;65;Asparagus;No;No;7;0,117;0,1337;Okay;Green;Heard of them, but no;Yes;None;No;6672.606;\(._.)/;The hell?;8. Pluto isn't a planet;55;Fibonacci (or something like that)
31;21/9-81;6;2;Windows;C++,Java,;60;Elephant;No;No;4;0,319;0,75423;Ok;Blue;Yes;Yes;MySQL;No;-;Somewhere in Syria;Fish;8;55;-
-;04-10-1991;7;2.5;Windows;C#, Java, C;65;Zebra;No;No;7;0,769563218754;0,000000000000000001;-Blank-;Black;Yes and no;Yes;MSSQL 2008 122;No;circa 6672;E(Syria Towns);-Blank;Billions (which solar system?);55;Fibbonnaci
